Month,Year,CPI   ,Cash    ,10Y BM  ,SPX-TR     ,CAPE ,MsciWorldExUs
1    ,1871,12.46 ,100.00  ,100.00  ,100.00     ,11.10,             
2    ,1871,12.84 ,100.53  ,102.29  ,101.87     ,10.92,             
3    ,1871,13.04 ,101.06  ,103.44  ,104.87     ,11.19,             
4    ,1871,12.56 ,101.60  ,105.05  ,108.45     ,12.06,             
5    ,1871,12.27 ,102.13  ,106.73  ,111.47     ,12.59,             
6    ,1871,12.08 ,102.67  ,107.95  ,111.08     ,12.59,             
7    ,1871,12.08 ,103.22  ,106.63  ,109.55     ,12.27,             
8    ,1871,11.89 ,103.76  ,107.50  ,111.18     ,12.55,             
9    ,1871,12.18 ,104.31  ,108.91  ,112.81     ,12.31,             
10   ,1871,12.37 ,104.86  ,108.59  ,107.49     ,11.48,             
11   ,1871,12.37 ,105.42  ,109.22  ,109.13     ,11.60,             
12   ,1871,12.65 ,105.98  ,110.10  ,112.25     ,11.58,             
1    ,1872,12.65 ,106.67  ,107.31  ,115.42     ,11.90,             
2    ,1872,12.65 ,107.36  ,107.23  ,116.54     ,11.96,             
3    ,1872,12.84 ,108.06  ,108.12  ,120.62     ,12.18,             
4    ,1872,13.13 ,108.76  ,110.78  ,124.73     ,12.26,             
5    ,1872,13.13 ,109.47  ,113.52  ,125.26     ,12.28,             
6    ,1872,13.04 ,110.18  ,115.28  ,124.59     ,12.26,             
7    ,1872,12.84 ,110.90  ,113.22  ,124.23     ,12.38,             
8    ,1872,12.94 ,111.62  ,113.58  ,123.32     ,12.13,             
9    ,1872,13.04 ,112.35  ,112.56  ,122.12     ,11.82,             
10   ,1872,12.75 ,113.08  ,114.41  ,123.07     ,12.13,             
11   ,1872,13.13 ,113.82  ,115.39  ,123.38     ,11.71,             
12   ,1872,12.94 ,114.56  ,116.75  ,126.80     ,12.17,             
1    ,1873,12.94 ,115.35  ,115.41  ,128.35     ,12.25,             
2    ,1873,13.23 ,116.16  ,116.21  ,130.23     ,12.06,             
3    ,1873,13.23 ,116.97  ,117.77  ,129.65     ,11.96,             
4    ,1873,13.23 ,117.78  ,119.22  ,128.47     ,11.78,             
5    ,1873,12.94 ,118.60  ,121.49  ,129.50     ,12.05,             
6    ,1873,12.56 ,119.42  ,123.46  ,128.64     ,12.22,             
7    ,1873,12.56 ,120.25  ,120.93  ,129.07     ,12.16,             
8    ,1873,12.56 ,121.09  ,121.24  ,129.82     ,12.12,             
9    ,1873,12.56 ,121.93  ,119.01  ,120.51     ,11.16,             
10   ,1873,12.27 ,122.78  ,116.77  ,110.84     ,10.40,             
11   ,1873,11.89 ,123.64  ,117.01  ,107.56     ,10.31,             
12   ,1873,12.18 ,124.50  ,123.28  ,118.48     ,10.96,             
1    ,1874,12.37 ,125.21  ,122.14  ,125.34     ,11.33,             
2    ,1874,12.37 ,125.92  ,125.03  ,129.55     ,11.63,             
3    ,1874,12.37 ,126.64  ,126.34  ,128.43     ,11.43,             
4    ,1874,12.18 ,127.37  ,127.70  ,125.28     ,11.26,             
5    ,1874,12.08 ,128.10  ,128.28  ,122.89     ,11.02,             
6    ,1874,11.80 ,128.83  ,129.20  ,122.89     ,11.20,             
7    ,1874,11.89 ,129.57  ,125.28  ,123.57     ,11.07,             
8    ,1874,11.80 ,130.31  ,125.93  ,124.60     ,11.14,             
9    ,1874,11.80 ,131.05  ,126.04  ,127.37     ,11.28,             
10   ,1874,11.61 ,131.80  ,126.70  ,127.72     ,11.40,             
11   ,1874,11.51 ,132.55  ,128.85  ,129.13     ,11.56,             
12   ,1874,11.51 ,133.31  ,131.36  ,129.49     ,11.44,             
1    ,1875,11.51 ,133.86  ,129.97  ,130.26     ,11.41,             
2    ,1875,11.51 ,134.42  ,131.47  ,130.68     ,11.35,             
